菊池　雄星, (西), 左投げ, 22試合, 12勝, 7敗, 0セーブ, 0HP, 防御率2.58, 勝率0.632
國場　翼, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
大谷　翔平, (日), 右投げ, 21試合, 10勝, 4敗, 0セーブ, 1HP, 防御率1.86, 勝率0.714
郭　俊麟, (西), 右投げ, 12試合, 0勝, 3敗, 0セーブ, 0HP, 防御率8.46, 勝率0.000
大石　達也, (西), 右投げ, 36試合, 1勝, 0敗, 0セーブ, 4HP, 防御率1.71, 勝率1.000
ウルフ, (西), 右投げ, 4試合, 4勝, 0敗, 0セーブ, 0HP, 防御率3.04, 勝率1.000
岡本　洋介, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率19.29, 勝率0.000
岡本　篤志, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
多和田　真三郎, (西), 右投げ, 18試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.38, 勝率0.583
武隈　祥太, (西), 左投げ, 64試合, 5勝, 3敗, 0セーブ, 19HP, 防御率3.54, 勝率0.625
豊田　拓矢, (西), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率0.000
十亀　剣, (西), 右投げ, 21試合, 4勝, 6敗, 0セーブ, 2HP, 防御率6.31, 勝率0.400
榎下　陽大, (日), 右投げ, 16試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.58, 勝率1.000
佐野　泰雄, (西), 左投げ, 15試合, 1勝, 1敗, 0セーブ, 1HP, 防御率3.29, 勝率0.000
佐藤　勇, (西), 左投げ, 7試合, 1勝, 3敗, 0セーブ, 0HP, 防御率5.76, 勝率0.250
_橋　光成, (西), 右投げ, 22試合, 4勝, 11敗, 0セーブ, 0HP, 防御率4.42, 勝率0.267
Ｃ．Ｃ．リー, (西), 右投げ, 18試合, 0勝, 0敗, 0セーブ, 1HP, 防御率6.48, 勝率0.000
岩尾　利弘, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
田中　靖洋, (ロ), 右投げ, 17試合, 0勝, 1敗, 0セーブ, 1HP, 防御率2.76, 勝率0.000
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
東條　大樹, (ロ), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 1HP, 防御率10.03, 勝率0.000
チェン・グァンユウ, (ロ), 左投げ, 7試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.01, 勝率0.000
関谷　亮太, (ロ), 右投げ, 16試合, 5勝, 6敗, 0セーブ, 0HP, 防御率5.52, 勝率0.455
木村　優太, (ロ), 左投げ, 6試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.22, 勝率0.000
唐川　侑己, (ロ), 右投げ, 15試合, 6勝, 6敗, 0セーブ, 0HP, 防御率2.84, 勝率0.000
スタンリッジ, (ロ), 右投げ, 27試合, 8勝, 8敗, 0セーブ, 0HP, 防御率3.56, 勝率0.000
黒沢　翔太, (ロ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
南　昌輝, (ロ), 右投げ, 57試合, 5勝, 4敗, 0セーブ, 21HP, 防御率2.74, 勝率0.556
松永　昂大, (ロ), 左投げ, 53試合, 3勝, 0敗, 0セーブ, 13HP, 防御率3.46, 勝率1.000
涌井　秀章, (ロ), 右投げ, 26試合, 10勝, 7敗, 0セーブ, 0HP, 防御率3.01, 勝率0.588
宮_　敦次, (ロ), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
加藤　貴之, (日), 左投げ, 30試合, 7勝, 3敗, 0セーブ, 2HP, 防御率3.45, 勝率0.700
藤岡　貴裕, (ロ), 左投げ, 32試合, 1勝, 1敗, 0セーブ, 7HP, 防御率2.55, 勝率0.000
金平　将至, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
古谷　拓哉, (ロ), 左投げ, 5試合, 0勝, 4敗, 0セーブ, 0HP, 防御率8.84, 勝率0.000
二木　康太, (ロ), 右投げ, 22試合, 7勝, 9敗, 0セーブ, 0HP, 防御率5.34, 勝率0.438
