八木　亮祐, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山崎　勝己, (オ), 右打ち, 43試合, 打率0.152, 80打席, 10安打, 0本塁打, 0打点, 16三振, 長打率0.167
宮_　祐樹, (オ), 右打ち, 23試合, 打率0.238, 49打席, 10安打, 0本塁打, 0打点, 8三振, 長打率0.262
宗　佑磨, (オ), 左打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
吉田　一将, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
若月　健矢, (オ), 右打ち, 85試合, 打率0.227, 262打席, 52安打, 0本塁打, 20打点, 42三振, 長打率0.284
山_　福也, (オ), 左打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山田　修義, (オ), 左打ち, 12試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ミッシュ, (オ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西　勇輝, (オ), 右打ち, 26試合, 打率0.250, 4打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.250
原　拓也, (オ), 左打ち, 36試合, 打率0.189, 43打席, 7安打, 0本塁打, 4打点, 7三振, 長打率0.216
東明　大貴, (オ), 右打ち, 24試合, 打率0.250, 5打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
中村　一生, (オ), 右打ち, 7試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.400
伏見　寅威, (オ), 右打ち, 17試合, 打率0.242, 35打席, 8安打, 0本塁打, 1打点, 6三振, 長打率0.242
松葉　貴大, (オ), 左打ち, 28試合, 打率1.000, 2打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
比嘉　幹貴, (オ), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平野　佳寿, (オ), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小島　脩平, (オ), 左打ち, 79試合, 打率0.246, 219打席, 49安打, 0本塁打, 9打点, 29三振, 長打率0.307
ミコライオ, (楽), 右打ち, 45試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
美馬　学, (楽), 左打ち, 26試合, 打率0.667, 3打席, 2安打, 0本塁打, 1打点, 1三振, 長打率0.667
牧田　明久, (楽), 右打ち, 16試合, 打率0.355, 34打席, 11安打, 0本塁打, 2打点, 2三振, 長打率0.419
松井　裕樹, (楽), 左打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山内　壮馬, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
横山　貴明, (楽), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宮川　将, (楽), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武藤　好貴, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
古川　侑利, (楽), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長谷部　康平, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
濱矢　廣大, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西宮　悠介, (楽), 左打ち, 29試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
則本　昂大, (楽), 左打ち, 28試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
福山　博之, (楽), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
フェルナンド, (楽), 右打ち, 4試合, 打率0.182, 11打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.273
ブリガム, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
海田　智行, (オ), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
角屋　龍太, (オ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
奥浪　鏡, (オ), 右打ち, 15試合, 打率0.265, 42打席, 9安打, 0本塁打, 1打点, 11三振, 長打率0.324
小田　裕也, (オ), 左打ち, 78試合, 打率0.137, 58打席, 7安打, 0本塁打, 3打点, 19三振, 長打率0.137
岸田　護, (オ), 右打ち, 16試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
コーディエ, (オ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金子　千尋, (オ), 左打ち, 24試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川端　崇義, (オ), 右打ち, 28試合, 打率0.194, 71打席, 12安打, 0本塁打, 5打点, 11三振, 長打率0.226
大山　暁史, (オ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
レイ, (楽), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
青山　大紀, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉持　亮汰, (楽), 右打ち, 21試合, 打率0.161, 37打席, 5安打, 0本塁打, 1打点, 6三振, 長打率0.226
リズ, (楽), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大城　滉二, (オ), 右打ち, 64試合, 打率0.224, 177打席, 36安打, 0本塁打, 7打点, 38三振, 長打率0.261
大田　阿斗里, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
赤間　謙, (オ), 右打ち, 24試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩_　恭平, (オ), 左打ち, 9試合, 打率0.214, 15打席, 3安打, 0本塁打, 0打点, 5三振, 長打率0.214
野上　亮磨, (西), 右打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
カニザレス, (ソ), 右打ち, 16試合, 打率0.179, 42打席, 7安打, 0本塁打, 3打点, 11三振, 長打率0.205
加治屋　蓮, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大隣　憲司, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　健, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
嘉弥真　新也, (ソ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川島　慶三, (ソ), 右打ち, 20試合, 打率0.125, 50打席, 5安打, 0本塁打, 3打点, 10三振, 長打率0.125
金子　圭輔, (ソ), 両打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
釜元　豪, (ソ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
上林　誠知, (ソ), 左打ち, 14試合, 打率0.211, 19打席, 4安打, 0本塁打, 1打点, 7三振, 長打率0.263
明石　健志, (ソ), 左打ち, 47試合, 打率0.230, 152打席, 31安打, 0本塁打, 16打点, 34三振, 長打率0.304
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
吉川　光夫, (日), 左打ち, 27試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
米野　智人, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
猪本　健太郎, (ソ), 右打ち, 5試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
岩嵜　翔, (ソ), 右打ち, 35試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
飯田　優也, (ソ), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
五十嵐　亮太, (ソ), 右打ち, 33試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サファテ, (ソ), 右打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
東浜　巨, (ソ), 右打ち, 23試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
牧原　大成, (ソ), 左打ち, 41試合, 打率0.244, 97打席, 22安打, 0本塁打, 6打点, 15三振, 長打率0.278
バリオス, (ソ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
バンデンハーク, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
